Folder,Status,PDFs Found,PDFs Copied
6RNYUWPU,processed,1,1
6QAX4GAX,processed,1,1
6PBAMSFF,processed,1,1
6U5C8XDJ,processed,1,1
6PX7ZCT7,processed,1,1
6RUCJDCV,processed,1,1
6WCFHXFN,processed,1,1
6UDVKQ7Q,processed,1,1
6T3X3DG2,processed,1,1
6W7L5D96,processed,1,1
6VKWF4QV,processed,1,1
6WPKR87G,processed,1,1
6WSK6I9H,no_pdfs,0,0
6WVDGWGS,no_pdfs,0,0
6XDZ22CB,no_pdfs,0,0
6YB5AS3K,no_pdfs,0,0
6YKGYNZH,no_pdfs,0,0
6ZBH9HDW,no_pdfs,0,0
6Z3T3INW,processed,1,1
6YZG2DXY,processed,1,1
6ZWEGECW,processed,1,1
6YQ7ZK57,processed,1,1
6Z56WHLP,processed,1,1
6ZMHYW4C,processed,1,1
74WQ2VA3,no_pdfs,0,0
73BC7NIT,processed,1,1
74VIZRXD,processed,1,1
72G9R84G,processed,1,1
765EW5QT,no_pdfs,0,0
755FRUIQ,no_pdfs,0,0
75VRQDQD,no_pdfs,0,0
72FFKEGV,processed,1,1
6XMTWTD9,processed,1,1
78CGXJDS,processed,1,1
78DFJ2AG,processed,1,1
78S3HTMR,no_pdfs,0,0
76WS3ZIM,processed,1,1
7B8U4ZZY,processed,1,1
76ZT8EJA,processed,1,1
755WRXEA,processed,1,1
7BZ68LJF,processed,1,1
77DDAUSD,processed,1,1
7CASK9NU,processed,1,1
7BZFI4XU,processed,1,1
7CJQUUMH,processed,1,1
7DMTUQL2,no_pdfs,0,0
77H35RVH,processed,1,1
7FUB64BE,no_pdfs,0,0
7ED6WZIV,processed,1,1
7GXCFC64,no_pdfs,0,0
7H4V79GX,processed,1,1
7I29ZABA,processed,1,1
7HBC3ECV,processed,1,1
7I9MJII3,no_pdfs,0,0
79QL3QX9,processed,1,1
7IH4SRDV,no_pdfs,0,0
7IFIZUQU,processed,1,1
7HF5758L,processed,1,1
7JEHNKCF,processed,1,1
7HKW9CS2,processed,1,1
7L747F68,processed,1,1
7KDZGZVH,processed,1,1
7N268LZK,no_pdfs,0,0
7I2VHUVF,processed,1,1
7MJZGSAC,processed,1,1
7ML7FQ85,processed,1,1
7F4MSB52,processed,1,1
7NFR9RZ5,no_pdfs,0,0
7NC7UIIX,no_pdfs,0,0
7MV4L4FP,processed,1,1
7RDLBLX5,no_pdfs,0,0
7NWVCU3E,no_pdfs,0,0
7NWQ5NGZ,processed,1,1
7NRDC29C,processed,1,1
7PQB72Y9,processed,1,1
7UDNI3EK,no_pdfs,0,0
7UCKFQVZ,processed,1,1
7UEVMV8Z,processed,1,1
7PQJU4B5,processed,1,1
7VIUSAIP,no_pdfs,0,0
7SW2H459,processed,1,1
7RWUHGCY,processed,1,1
7WVKCU98,no_pdfs,0,0
7VM4BHVK,processed,1,1
7YKDKMI8,no_pdfs,0,0
7YVALF6A,processed,1,1
7ZBH9N25,no_pdfs,0,0
7XJ8IBRV,processed,1,1
7VHF8J6C,processed,1,1
7ZW7994U,processed,1,1
82KVNTMT,processed,1,1
82QV7CMB,processed,1,1
832BCEQR,processed,1,1
7UXBEPPX,processed,1,1
84P3BTVP,processed,1,1
84U7LZY8,processed,1,1
85875NBF,no_pdfs,0,0
82Q7426B,processed,1,1
86NNFMEN,processed,1,1
86SX3N3F,no_pdfs,0,0
87E9SDJW,processed,1,1
7VWU4WUC,processed,1,1
86NPF39Y,processed,1,1
